course_name,category,raw_ranking_row_count,ranking_row_count,unique_players,course_record_time_ms,eligible_for_overall
5thタワー,kuwaty,100,100,100,60995,True
60mとんとん走,matataki,100,100,100,3190,True
Aequor,normal,100,100,100,110310,True
Alley,normal,100,100,100,37747,True
Annus novus,normal,100,100,100,91306,True
Archaic arcade,normal,100,100,100,284459,True
Athletic Memory,normal,100,100,100,177851,True
Athletic Starter Road,normal,100,100,100,145851,True
Athletic_VOXXXX,normal,100,100,100,215809,True
Atlantis,normal,100,100,100,75299,True
BigBiome,normal,100,100,100,503594,True
BiomesIsland,normal,100,100,100,761005,True
Bloom Seeker,normal,100,100,100,64399,True
Bornament,normal,100,100,100,75702,True
Canyon Path,normal,100,100,100,306165,True
Caves.,normal,100,100,100,72702,True
Chaterno,normal,100,100,100,239849,True
Childing,normal,100,100,100,215136,True
Circular world,normal,100,100,100,171401,True
ColorTunnel,normal,100,100,100,159582,True
Colorless_Planet,normal,100,100,100,102551,True
Country Messenger,normal,100,100,100,80948,True
Cs cluster amaryllis,normal,100,100,100,29151,True
DIVE into SUMMER!!!!!,normal,100,100,100,83548,True
Destinature,normal,100,100,100,97600,True
Dig Mirage,normal,100,100,100,74899,True
Dimension//Endroll,normal,100,100,100,196603,True
Divinia,normal,100,100,100,313554,True
EXーLabyrinth,normal,100,100,100,68307,True
Effect Challenge,kuwaty,100,100,100,50284,True
Electronic Escape,normal,100,100,100,98251,True
Elementary_course,normal,100,100,100,93849,True
End Maverick,normal,100,100,100,77702,True
Escape from U.L.,normal,100,100,100,439868,True
Fantasia,normal,100,100,100,74467,True
Feel Nature,normal,100,100,100,205396,True
GABA,normal,100,100,100,90552,True
GABA2,normal,100,100,100,66847,True
GABA3,normal,100,100,100,112090,True
GoNiGoNi_Level`s_1,normal,100,100,100,50366,True
GoNiGoNi_Level`s_2,normal,100,100,100,101699,True
GoNiGoNi_Level`s_3,normal,100,100,100,76935,True
Happy Flavor!,normal,100,100,100,95850,True
Harmonics,normal,100,100,100,20101,True
IDEA,normal,100,100,100,104908,True
Imagination,normal,100,100,100,86147,True
Intermediate Course,normal,100,100,100,47373,True
Jungle Maze,normal,100,100,100,61561,True
LONG BIOME,normal,100,100,100,513907,True
Laberinto de Garrulus,normal,100,100,100,75151,True
Legacy,normal,100,100,100,18950,True
Liaoning Itinere,normal,100,100,100,150204,True
Liar Truth,other,100,100,100,28400,True
LonelySomedayMemory,normal,100,100,100,78749,True
MEIKYU,matataki,100,100,100,38821,True
Mad Junkie :D,normal,100,100,100,82644,True
Metalic Gear,normal,100,100,100,101750,True
Mining Athletic,normal,100,100,100,124297,True
My Archive,normal,100,100,100,358802,True
Mystique,normal,100,100,100,321109,True
NatureBiome,normal,100,100,100,651616,True
Neophyte Biome,normal,100,100,100,397451,True
Neotech Android,normal,100,100,100,109300,True
Not found.,normal,100,100,100,93587,True
Octologue templum,normal,100,100,100,94803,True
Sanctuary,arena,100,100,100,82345,True
Screw Biome,normal,100,100,100,313302,True
SiLenT,normal,100,100,100,63098,True
Spooky,normal,100,100,100,63600,True
Stare,normal,100,100,100,91649,True
Supreme Summer,normal,100,100,100,165800,True
Tasty sweets,normal,100,100,100,93700,True
Tasty sweets 2,normal,100,100,100,82451,True
Title,normal,100,100,100,37549,True
Undersea road,normal,100,100,100,62700,True
Valley Camp,normal,100,100,100,56951,True
Variety_Parkour,normal,100,100,100,137843,True
Variety_Parkour_2,normal,100,100,100,128198,True
Variety_Parkour_3,normal,100,100,100,107187,True
Victors,normal,100,100,100,96650,True
Viola,normal,100,100,100,83647,True
Waza01,waza,100,100,100,91200,True
Waza02,waza,100,100,100,98433,True
Waza03,waza,100,100,100,111449,True
Waza04,waza,100,100,100,156567,True
Waza05,waza,100,100,100,124399,True
Waza06,waza,100,100,100,177549,True
Waza07,waza,100,100,100,184434,True
Waza10,waza,100,100,100,254350,True
Whaels herd,normal,100,100,100,58148,True
White Flowers,normal,100,100,100,66500,True
Winter World,normal,100,100,100,58454,True
Wood and Cave and...,normal,100,100,100,156101,True
Zenith,normal,100,100,100,495911,True
Zhanlue,normal,100,100,100,67702,True
calm,normal,100,100,100,49750,True
challenge1,challenge,100,100,100,91774,True
challenge10,challenge,100,100,100,108214,True
challenge2,challenge,100,100,100,100672,True
challenge3,challenge,100,100,100,179378,True
challenge4,challenge,100,100,100,110851,True
challenge5,challenge,100,100,100,98873,True
challenge9,challenge,100,100,100,184506,True
corrosion of the slime,normal,100,100,100,204752,True
daydream planet,normal,100,100,100,66498,True
dungeon of ruins,normal,100,100,100,87047,True
flashback,normal,100,100,100,68999,True
ksk,matataki,100,100,100,8600,True
miniascape of sea,normal,100,100,100,270843,True
runner_clay,normal,100,100,100,104938,True
scent of yesterday,normal,100,100,100,53700,True
short cave,normal,100,100,100,117037,True
slowly melt,normal,100,100,100,84904,True
тw⇡sтed CloveR＊,normal,100,100,100,65701,True
えれベータ,matataki,100,100,100,15919,True
かなかなセクション,hard,100,100,100,83846,True
くるるん,matataki,100,100,100,16969,True
ぐるんとはしご登り,matataki,100,100,100,20400,True
つるつる,matataki,100,100,100,57821,True
てけちゃんアスレ,kuwaty,100,100,100,47287,True
でこぼこ,matataki,100,100,100,13006,True
にょろにょろ,matataki,100,100,100,18900,True
はしごくだり,matataki,100,100,100,11395,True
はしご邪魔やねん,matataki,100,100,100,22150,True
ひよちゃんアスレ,normal,100,100,100,97946,True
ぴょんぴょん,matataki,100,100,100,26299,True
ぴょんぴょんアスレ EASY,kuwaty,100,100,100,9199,True
ぴょんぴょんアスレ HARD,kuwaty,100,100,100,12462,True
ぴょんぴょんアスレ NORMAL,kuwaty,100,100,100,7443,True
ゆらゆら,matataki,100,100,100,17656,True
アストレイ,normal,100,100,100,56551,True
アスレチックビル,normal,100,100,100,462400,True
ウォーターパーク,normal,100,100,100,59861,True
エンドアタック,normal,100,100,100,104998,True
カイﾀﾞﾝﾀﾞﾝ,matataki,100,100,100,16553,True
カラフル迷路,other,100,100,100,338306,True
ゴンゴン,matataki,100,100,100,9079,True
サイド,matataki,100,100,100,32750,True
シュルシュル,matataki,100,100,100,24299,True
シンプルバイオームアスレチック,kuwaty,100,100,100,451058,True
ジャングルジム-オーク-,kuwaty,100,100,100,14459,True
ジャングルジム-シラカバ-,kuwaty,100,100,100,25500,True
ジャングルジム-マツ-,kuwaty,100,100,100,24604,True
スルスル,matataki,100,100,100,9850,True
ツリーアスレ,normal,100,100,100,26649,True
テクニックコース,matataki,100,100,100,21319,True
バイアスバイオーム,normal,100,100,100,840113,True
バイオームミックス,normal,100,100,100,448597,True
バイオームロード,normal,100,100,100,737343,True
パラレルバイオーム,normal,100,100,100,217552,True
ヒューストン,matataki,100,100,100,12675,True
ビル--水--,kuwaty,100,100,100,31104,True
ビル--蜘蛛の巣--,kuwaty,100,100,100,33907,True
ビル--隙間--,kuwaty,100,100,100,18102,True
ブルブル,matataki,100,100,100,31042,True
ブレイブ・メン・ロード,normal,100,100,100,25347,True
ペコペコ,matataki,100,100,100,14498,True
マンションアスレチック,normal,100,100,100,61903,True
ミスディレクション,matataki,100,100,100,24700,True
ミニBOXバイオーム-EASY-,kuwaty,100,100,100,113453,True
ミニバイオームアスレチック,normal,100,100,100,192845,True
ラージバイオーム,normal,100,100,100,1499616,True
世界樹の麓,normal,100,100,100,238800,True
中級TA,matataki,100,100,100,18349,True
元祖EASY,normal,100,100,100,47169,True
元祖NORMAL,normal,100,100,100,60199,True
入門,normal,100,100,100,812750,True
八の字,matataki,100,100,100,19250,True
厳冬の煌めき,normal,100,100,100,57450,True
古き砂上の楼閣,normal,100,100,100,109648,True
四季バイオーム,normal,100,100,100,195550,True
四角世界のお菓子達,normal,100,100,100,73802,True
図書館アスレ改,kuwaty,100,100,100,32599,True
図書館戦争,normal,100,100,100,87498,True
堅焼き粘土タイムアタック,kuwaty,100,100,100,137903,True
夕景と終末のエピローグ,normal,100,100,100,89702,True
夢々幻,normal,100,100,100,181899,True
帰路の森,normal,100,100,100,54048,True
弥日異に息吹く山吹花吹雪,normal,100,100,100,53100,True
手が疲れる奴,matataki,100,100,100,28849,True
散歩道,normal,100,100,100,46686,True
新人バイオーム,normal,100,100,100,1383053,True
晩夏光,normal,100,100,100,75750,True
月盈ちる稲穂枝垂れて盃満ちる,normal,100,100,100,81965,True
柵くぐり,matataki,100,100,100,45450,True
汚染世界,normal,100,100,100,104750,True
滝,matataki,100,100,100,17171,True
爆風アスレチック1,normal,100,100,100,42147,True
竜田揚げアスレチック,normal,100,100,100,73399,True
箱,normal,100,100,100,255033,True
紅ノ狂劇,arena,100,100,100,98000,True
自然の中を駆け抜ける,normal,100,100,100,69800,True
虚無,normal,100,100,100,112018,True
蜘蛛の巣,matataki,100,100,100,12005,True
輝く洞窟,kuwaty,100,100,100,13751,True
運ゲー,matataki,100,100,100,43299,True
隙間,matataki,100,100,100,10297,True
雨緑林,normal,100,100,100,52905,True
雪なる標,normal,100,100,100,42601,True
雪魄氷姿,normal,100,100,100,101250,True
飛び水,matataki,100,100,100,22563,True
飛べないんご,kuwaty,100,100,100,36798,True
鯉の滝登り,matataki,100,100,100,26670,True
黄泉の国,normal,100,100,100,29550,True
ｱｯﾂｲﾕｶ,matataki,100,100,100,13950,True
challenge11,challenge,98,98,98,110827,False
challenge12,challenge,98,98,98,367194,False
ヒトトセの旅,kuwaty,98,98,98,49950,False
ンぴょンぴょアスレチック1,other,98,98,98,21654,False
田舎,kuwaty,95,95,95,60498,False
challenge8,challenge,94,94,94,133217,False
イモムシTA,matataki,93,93,93,16197,False
Alticlus,normal,89,89,89,248840,False
challenge6,challenge,88,88,88,253422,False
はやいはやいアスレ NORMAL,kuwaty,85,85,85,38698,False
Ultra Niwatori Planet,normal,82,82,82,347128,False
Waza08,waza,82,82,82,249863,False
元祖HARD,normal,81,81,81,115924,False
Vestige,normal,77,77,77,349990,False
POTETO City,kuwaty,76,76,76,41956,False
"""HELLO, THE COMPUTER WORLD!""_",normal,75,75,75,280824,False
challenge13,challenge,75,75,75,461676,False
Obserath,normal,74,74,74,299236,False
異空の架け橋,kuwaty,74,74,74,83154,False
Intermediate Ordeal,normal,72,72,72,126848,False
盆栽,kuwaty,71,71,71,108665,False
